Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD
27020602,Rock 'n' Roll San Diego Marathon,"June 2, 2002",San Diego,CA,15427,7106,8321,2:09:02,2:29:57,4:57:47,1:04:02
27010603,Rock 'n' Roll San Diego Marathon,"June 3, 2001",San Diego,CA,14932,6718,8214,2:10:07,2:25:05,4:55:57,1:03:03
27000604,Rock 'n' Roll San Diego Marathon,"June 4, 2000",San Diego,CA,15160,6814,8346,2:12:45,2:27:05,4:59:42,1:01:20
687191208,California International Marathon,"December 8, 2019",Sacramento,CA,7504,4228,3276,2:13:36,2:29:31,4:05:18,0:59:14
687181202,California International Marathon,"December 2, 2018",Sacramento,CA,7830,4186,3644,2:12:39,2:28:19,3:54:57,0:46:13
687171203,California International Marathon,"December 3, 2017",Sacramento,CA,6543,3469,3074,2:11:56,2:28:10,4:16:23,0:52:57
687161204,California International Marathon,"December 4, 2016",Sacramento,CA,6174,3336,2838,2:11:41,2:31:20,4:17:11,0:54:45
687151206,California International Marathon,"December 6, 2015",Sacramento,CA,5629,3017,2612,2:12:11,2:31:50,4:16:44,0:54:41
687141207,California International Marathon,"December 7, 2014",Sacramento,CA,5777,3212,2565,2:11:56,2:27:33,4:15:15,0:53:27
687131208,California International Marathon,"December 8, 2013",Sacramento,CA,6206,3420,2786,2:14:31,2:30:38,4:16:28,0:52:57
687121202,California International Marathon,"December 2, 2012",Sacramento,CA,6186,3350,2836,2:16:29,2:34:57,4:24:11,0:52:45
687111204,California International Marathon,"December 4, 2011",Sacramento,CA,5755,3271,2484,2:11:50,2:33:40,4:13:41,0:50:51
687101205,California International Marathon,"December 5, 2010",Sacramento,CA,5879,3330,2549,2:12:39,2:32:13,4:17:30,0:49:23
687091206,California International Marathon,"December 6, 2009",Sacramento,CA,5844,3461,2383,2:13:42,2:32:17,4:06:55,0:45:29
687081207,California International Marathon,"December 7, 2008",Sacramento,CA,5198,3015,2183,2:16:41,2:32:00,4:05:15,0:44:37
687071202,California International Marathon,"December 2, 2007",Sacramento,CA,4743,2831,1912,2:14:30,2:39:19,4:08:58,0:46:45
687061203,California International Marathon,"December 3, 2006",Sacramento,CA,3789,2328,1461,2:14:58,2:34:23,4:07:08,0:47:10
687051204,California International Marathon,"December 4, 2005",Sacramento,CA,3249,2036,1213,2:18:30,2:37:38,4:09:25,0:47:21
687041205,California International Marathon,"December 5, 2004",Sacramento,CA,2963,1811,1152,2:13:22,2:37:22,4:08:58,0:47:09
687031207,California International Marathon,"December 7, 2003",Sacramento,CA,2930,1814,1116,2:16:21,2:33:31,4:12:28,0:45:53
687021208,California International Marathon,"December 8, 2002",Sacramento,CA,2611,1624,987,2:11:56,2:33:13,4:04:23,0:44:06
687011202,California International Marathon,"December 2, 2001",Sacramento,CA,2727,1602,1125,2:22:12,2:36:36,4:17:25,0:45:30
687001203,California International Marathon,"December 3, 2000",Sacramento,CA,2706,1594,1112,2:15:38,2:38:16,4:07:56,0:44:57
7322211003,Portland Marathon,"October 3, 2021",Portland,OR,1355,842,513,2:28:47,2:53:37,4:22:04,0:51:57
7322191006,Portland Marathon,"October 6, 2019",Portland,OR,1822,1082,740,2:25:15,2:48:00,4:24:54,0:51:10
6618181007,Portland Marathon,"October 7, 2018",Portland,OR,748,445,303,2:25:02,3:21:40,4:31:59,0:56:28
38171008,Portland Marathon,"October 8, 2017",Portland,OR,2912,1464,1448,2:23:41,2:50:25,4:44:45,1:00:37
38161009,Portland Marathon,"October 9, 2016",Portland,OR,4421,2158,2263,2:36:25,2:38:45,4:49:48,1:02:06
38151004,Portland Marathon,"October 4, 2015",Portland,OR,5550,2709,2841,2:28:29,2:51:23,4:43:34,0:58:47
38141005,Portland Marathon,"October 5, 2014",Portland,OR,6258,3050,3208,2:23:57,2:53:30,4:47:36,0:59:28
38131006,Portland Marathon,"October 6, 2013",Portland,OR,6951,3321,3630,2:20:54,2:42:15,4:46:40,1:06:16
38121007,Portland Marathon,"October 7, 2012",Portland,OR,6518,3158,3360,2:21:09,2:51:35,4:43:58,1:01:12
38111009,Portland Marathon,"October 9, 2011",Portland,OR,8461,4013,4448,2:27:38,2:46:28,4:32:58,0:48:31
38101010,Portland Marathon,"October 10, 2010",Portland,OR,7817,3398,4419,2:28:42,2:52:02,4:53:11,1:12:27
38091004,Portland Marathon,"October 4, 2009",Portland,OR,8093,3825,4268,2:24:13,2:55:59,4:50:17,1:12:58
38081005,Portland Marathon,"October 5, 2008",Portland,OR,7856,3707,4149,2:31:22,2:45:24,4:55:21,1:17:40
38071007,Portland Marathon,"October 7, 2007",Portland,OR,7224,3436,3788,2:25:25,2:53:44,4:49:23,1:05:00
38061001,Portland Marathon,"October 1, 2006",Portland,OR,7719,3354,4365,2:21:54,2:53:18,5:04:08,1:20:55
38051009,Portland Marathon,"October 9, 2005",Portland,OR,7201,3262,3939,2:26:28,2:44:30,4:58:22,1:14:44
38041003,Portland Marathon,"October 3, 2004",Portland,OR,5838,2707,3131,2:25:33,2:49:48,4:49:27,1:07:22
38031005,Portland Marathon,"October 5, 2003",Portland,OR,7031,3042,3989,2:23:05,2:47:53,5:04:38,1:18:26
38021006,Portland Marathon,"October 6, 2002",Portland,OR,7091,3061,4030,2:19:56,2:54:09,5:02:45,1:17:46
38010930,Portland Marathon,"September 30, 2001",Portland,OR,7333,3217,4116,2:33:01,2:49:56,5:04:56,1:17:00
38001001,Portland Marathon,"October 1, 2000",Portland,OR,7717,3224,4493,2:22:15,2:58:33,5:11:38,1:23:12
1964200119,Rock 'n' Roll Arizona Marathon,"January 19, 2020",Phoenix,AZ,1685,1083,602,2:20:58,2:42:15,4:43:02,0:58:08
1964190120,Rock 'n' Roll Arizona Marathon,"January 20, 2019",Phoenix,AZ,1456,871,585,2:20:59,2:46:20,4:42:50,0:58:52
1964180114,Rock 'n' Roll Arizona Marathon,"January 14, 2018",Phoenix,AZ,1468,877,591,2:31:35,2:42:02,4:39:11,0:57:38
1964170115,Rock 'n' Roll Arizona Marathon,"January 15, 2017",Phoenix,AZ,2332,1312,1020,2:19:57,2:42:49,4:39:35,0:55:59
1964160117,Rock 'n' Roll Arizona Marathon,"January 17, 2016",Phoenix,AZ,2335,1307,1028,2:25:22,2:46:44,4:41:12,0:56:30
1964150118,Rock 'n' Roll Arizona Marathon,"January 18, 2015",Phoenix,AZ,2577,1452,1125,2:24:41,2:45:59,4:36:07,0:52:50
1964140119,Rock 'n' Roll Arizona Marathon,"January 19, 2014",Phoenix,AZ,2878,1640,1238,2:21:00,2:49:24,4:32:48,0:52:31
1964130120,Rock 'n' Roll Arizona Marathon,"January 20, 2013",Phoenix,AZ,3223,1850,1373,2:31:06,2:44:41,4:31:32,0:52:16
1964120115,Rock 'n' Roll Arizona Marathon,"January 15, 2012",Phoenix,AZ,3863,2215,1648,2:24:47,2:49:12,4:28:29,0:51:56
1964110116,Rock 'n' Roll Arizona Marathon,"January 16, 2011",Phoenix,AZ,5062,2874,2188,2:17:32,2:37:55,4:29:53,0:53:24
1964100117,Rock 'n' Roll Arizona Marathon,"January 17, 2010",Phoenix,AZ,5691,3184,2507,2:12:41,2:30:39,4:28:24,0:52:58
1964090118,Rock 'n' Roll Arizona Marathon,"January 18, 2009",Phoenix,AZ,6440,3461,2979,2:10:36,2:31:22,4:35:40,0:55:57
1964080113,Rock 'n' Roll Arizona Marathon,"January 13, 2008",Phoenix,AZ,6453,3487,2966,2:13:21,2:31:15,4:35:41,0:57:38
1964070114,Rock 'n' Roll Arizona Marathon,"January 14, 2007",Phoenix,AZ,6942,3586,3356,2:14:13,2:31:43,4:35:59,0:58:48
1964060115,Rock 'n' Roll Arizona Marathon,"January 15, 2006",Phoenix,AZ,7428,3881,3547,2:13:08,2:31:44,4:42:35,1:00:07
1964050109,Rock 'n' Roll Arizona Marathon,"January 9, 2005",Phoenix,AZ,7166,3727,3439,2:14:24,2:32:51,4:46:19,1:00:02
